date,trips
2015-01-01,7840
2015-02-01,4020
2015-03-01,11271
2015-04-01,55843
2015-05-01,149143
2015-06-01,144232
2015-07-01,175321
2015-08-01,160065
2015-09-01,150516
2015-10-01,126656
2015-11-01,88735
2015-12-01,48916
2016-01-01,12055
2016-02-01,14643
2016-03-01,41277
2016-04-01,84262
2016-05-01,129260
2016-06-01,164667
2016-07-01,167385
2016-08-01,174198
2016-09-01,165690
2016-10-01,137865
2016-11-01,99910
2016-12-01,44991
2017-01-01,19518
2017-02-01,17272
2017-03-01,31253
2017-04-01,99860
2017-05-01,127894
2017-06-01,161910
2017-07-01,175833
2017-08-01,190651
2017-09-01,165386
2017-10-01,163662
2017-11-01,105463
2017-12-01,55072
2018-01-01,40932
2018-02-01,62817
2018-03-01,62985
2018-04-01,98194
2018-05-01,178865
2018-06-01,205359
2018-07-01,242916
2018-08-01,236076
2018-09-01,236182
2018-10-01,200100
2018-11-01,121419
2018-12-01,81961
2019-01-01,69872
2019-02-01,80466
2019-03-01,102369
2019-04-01,166694
2019-05-01,223084
2019-06-01,274083
2019-07-01,317028
2019-08-01,337519
2019-09-01,363185
2019-10-01,305504
2019-11-01,190759
2019-12-01,92208
