name,x,y,values
18 Dorrance Warehouse,-71.0991753477227,42.387151,94
359 Broadway - Broadway at Fayette Street,-71.09852453681134,42.370803,3101
Agganis Arena - 925 Comm Ave.,-71.1007178296841,42.351246,4567
Airport T Stop - Bremen St at Brooks St,-71.03626481225585,42.37536686015489,155
Alewife MBTA at Steel Place,-71.12338667984511,42.395588457167094,424
Alewife Station at Russell Field,-71.11950963536302,42.396105,1097
Allston Green District - Commonwealth Ave & Griggs St,-71.10473681205274,42.348607,2221
Ames St at Main St,-71.09626302872721,42.3625,6000
Andrew Station - Dorchester Ave at Humboldt Pl,-71.05583474113266,42.330716,1215
Aquarium Station - 200 Atlantic Ave.,-71.05934729333086,42.35977,4627
B.U. Central - 725 Comm. Ave.,-71.09933992099472,42.350406,4622
Back Bay / South End Station,-71.07660762935137,42.34807412317439,6829
Beacon St / Mass Ave,-71.08943009767827,42.350851,8559
Beacon St at Washington / Kirkland,-71.10399740612621,42.37842,3016
Bennington St at Byron St,-71.02323564046075,42.38337841883669,42
BIDMC - Brookline at Burlington St,-71.09285104226083,42.345733,1700
Binney St / Sixth St,-71.08773756936904,42.366095,2802
Boston Convention & Exhibition Center,-71.06239296813251,42.3475,1428
Boston Medical Center -  East Concord at Harrison Ave,-71.08081880811422,42.336437,4356
Boston Public Library - 700 Boylston St.,-71.0817001237201,42.349673,8901
Bowdoin St at Quincy St,-71.06838094011836,42.30791912678712,75
Boylston / Mass Ave,-71.09035916913855,42.347265,5799
Boylston at Fairfield,-71.08181764599763,42.348762,6665
Boylston St / Berkeley St,-71.07473969585,42.350989,4738
Boylston St / Washington St,-71.07533754263426,42.352409,4989
Boylston St. at Arlington St.,-71.07596672300743,42.35255006465652,6801
Brian P. Murphy Staircase at Child Street,-71.07942455431399,42.3720597013741,635
Brigham Cir / Huntington Ave,-71.09565816623973,42.334073,3152
Brighton Center,-71.11437709016472,42.34894857235593,839
Broadway St at Mt Pleasant St,-71.08668424177843,42.386141411639564,719
Brookline Village - Station Street @ MBTA,-71.10099662061643,42.33289074055233,1813
Bunker Hill Community College,-71.07696185859221,42.37408991426522,1046
Buswell St. at Park Dr.,-71.09742337360711,42.347241,3540
Cambridge Main Library at Broadway / Trowbridge St,-71.10132141153348,42.373379,4344
Cambridge St - at Columbia St / Webster Ave,-71.092439786552,42.372969,4464
Cambridge St. at Joy St.,-71.07591309727336,42.361174,5708
CambridgeSide Galleria - CambridgeSide PL at Land Blvd,-71.08242171922228,42.366981,4296
Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,-71.10216245258633,42.366426,5922
Central Square at Mass Ave / Essex St,-71.09750979404417,42.36507,9819
Central Square East Boston - Porter Street at London Street,-71.04500348471332,42.374301316178226,10
Charles Circle - Charles St. at Cambridge St.,-71.08418918191059,42.360624982690496,7522
Charles St at Beacon St,-71.07564135615877,42.356052,4260
Charlestown - Main St at Austin St,-71.06763245911635,42.375603,2263
Charlestown - Warren St at Chelsea St,-71.06607137004589,42.371848,4473
Chelsea St at Saratoga St,-71.03275612786092,42.37980321246644,19
Chinatown Gate Plaza - Surface Rd. at Beach St.,-71.06791027461192,42.351356,3952
Christian Science Plaza,-71.08703666019022,42.343864,6135
Colleges of the Fenway,-71.09145772016487,42.340021,1913
Columbia Rd at Ceylon St,-71.07646894107913,42.309566,60
Columbus Ave. at Mass. Ave.,-71.08284165259093,42.340799,466
Congress / Sleeper,-71.0596240504775,42.3511,5273
Congress St and Northern Ave,-71.05150223634779,42.3482032222746,2369
Conway Park - Somerville Avenue,-71.10473118722,42.383405,2320
