start station name,end station name,n
Beacon St / Mass Ave,MIT at Mass Ave / Amherst St,2390
MIT at Mass Ave / Amherst St,Beacon St / Mass Ave,1998
MIT Vassar St,MIT Stata Center at Vassar St / Main St,1914
MIT at Mass Ave / Amherst St,MIT Vassar St,1494
Teele Square at 239 Holland St,Davis Square,1348
Linear Park - Mass. Ave. at Cameron Ave.,Davis Square,1177
Davis Square,Linear Park - Mass. Ave. at Cameron Ave.,1159
MIT Vassar St,MIT at Mass Ave / Amherst St,1123
MIT Pacific St at Purrington St,MIT Stata Center at Vassar St / Main St,1116
MIT Pacific St at Purrington St,Kendall T,1036
MIT Stata Center at Vassar St / Main St,MIT Vassar St,1025
MIT Vassar St,Kendall T,958
Kendall T,MIT Pacific St at Purrington St,932
Kendall T,MIT at Mass Ave / Amherst St,878
MIT Pacific St at Purrington St,MIT at Mass Ave / Amherst St,827
MIT at Mass Ave / Amherst St,MIT Pacific St at Purrington St,759
MIT Stata Center at Vassar St / Main St,MIT Pacific St at Purrington St,759
MIT Vassar St,Ames St at Main St,746
MIT at Mass Ave / Amherst St,Central Square at Mass Ave / Essex St,738
South Station - 700 Atlantic Ave.,Lewis Wharf - Atlantic Ave.,732
Lewis Wharf - Atlantic Ave.,South Station - 700 Atlantic Ave.,727
MIT at Mass Ave / Amherst St,Kendall T,720
Kendall T,MIT Vassar St,717
Davis Square,Teele Square at 239 Holland St,662
MIT at Mass Ave / Amherst St,MIT Stata Center at Vassar St / Main St,640
Harvard Square at Mass Ave/ Dunster,MIT at Mass Ave / Amherst St,632
Central Square at Mass Ave / Essex St,MIT Pacific St at Purrington St,626
MIT at Mass Ave / Amherst St,Harvard Square at Mass Ave/ Dunster,626
The Esplanade - Beacon St. at Arlington St.,The Esplanade - Beacon St. at Arlington St.,619
Central Square at Mass Ave / Essex St,MIT at Mass Ave / Amherst St,602
B.U. Central - 725 Comm. Ave.,Agganis Arena - 925 Comm Ave.,570
MIT Stata Center at Vassar St / Main St,MIT at Mass Ave / Amherst St,567
MIT Pacific St at Purrington St,MIT Vassar St,553
Ames St at Main St,MIT Vassar St,536
South Station - 700 Atlantic Ave.,State Street at Channel Center,525
MIT Pacific St at Purrington St,Central Square at Mass Ave / Essex St,517
South Station - 700 Atlantic Ave.,Aquarium Station - 200 Atlantic Ave.,514
Kenmore Sq / Comm Ave,MIT at Mass Ave / Amherst St,507
Rowes Wharf - Atlantic Ave,Lewis Wharf - Atlantic Ave.,499
South Station - 700 Atlantic Ave.,Cross St. at Hanover St.,495
MIT at Mass Ave / Amherst St,Kenmore Sq / Comm Ave,493
MIT at Mass Ave / Amherst St,MIT at Mass Ave / Amherst St,489
Kendall T,MIT Stata Center at Vassar St / Main St,469
Boylston St. at Arlington St.,South Station - 700 Atlantic Ave.,464
MIT Stata Center at Vassar St / Main St,Central Square at Mass Ave / Essex St,454
